sequence_id,model,tau,pck_percent_mean,frames_used
outdoors_fencing_01,vibe,0.6,99.48438,942
outdoors_fencing_01,vibe,0.8,99.88626,942
outdoors_fencing_01,vibe,1.0,99.969669,942
outdoors_freestyle_00,mp,0.1,12.13705,492
outdoors_freestyle_00,mp,0.2,26.408246,492
outdoors_freestyle_00,mp,0.3,49.680604,492
outdoors_freestyle_00,mp,0.4,78.324623,492
outdoors_freestyle_00,mp,0.5,91.811847,492
outdoors_freestyle_00,mp,0.6,96.87863,492
outdoors_freestyle_00,mp,0.8,99.20151,492
outdoors_freestyle_00,mp,1.0,99.78223,492
outdoors_freestyle_00,vibe,0.1,43.331417,497
outdoors_freestyle_00,vibe,0.2,78.513941,497
outdoors_freestyle_00,vibe,0.3,94.150618,497
outdoors_freestyle_00,vibe,0.4,98.275366,497
outdoors_freestyle_00,vibe,0.5,99.798793,497
outdoors_freestyle_00,vibe,0.6,99.971256,497
outdoors_freestyle_00,vibe,0.8,100.0,497
outdoors_freestyle_00,vibe,1.0,100.0,497
outdoors_freestyle_01,mp,0.1,12.532705,273
outdoors_freestyle_01,mp,0.2,26.059655,273
outdoors_freestyle_01,mp,0.3,48.48247,273
outdoors_freestyle_01,mp,0.4,78.021978,273
outdoors_freestyle_01,mp,0.5,89.194139,273
outdoors_freestyle_01,mp,0.6,94.557823,273
outdoors_freestyle_01,mp,0.8,98.953428,273
outdoors_freestyle_01,mp,1.0,100.0,273
outdoors_freestyle_01,vibe,0.1,42.307692,273
outdoors_freestyle_01,vibe,0.2,76.347462,273
outdoors_freestyle_01,vibe,0.3,94.610152,273
outdoors_freestyle_01,vibe,0.4,98.534799,273
outdoors_freestyle_01,vibe,0.5,99.712193,273
outdoors_freestyle_01,vibe,0.6,100.0,273
outdoors_freestyle_01,vibe,0.8,100.0,273
outdoors_freestyle_01,vibe,1.0,100.0,273
outdoors_golf_00,mp,0.1,14.348555,341
outdoors_golf_00,mp,0.2,22.475911,341
outdoors_golf_00,mp,0.3,52.199413,341
outdoors_golf_00,mp,0.4,91.432761,341
outdoors_golf_00,mp,0.5,96.899874,341
outdoors_golf_00,mp,0.6,98.42899,341
outdoors_golf_00,mp,0.8,99.706745,341
outdoors_golf_00,mp,1.0,99.958106,341
outdoors_golf_00,vibe,0.1,63.615417,341
outdoors_golf_00,vibe,0.2,89.296188,341
outdoors_golf_00,vibe,0.3,97.507331,341
outdoors_golf_00,vibe,0.4,98.973607,341
outdoors_golf_00,vibe,0.5,99.497277,341
outdoors_golf_00,vibe,0.6,100.0,341
outdoors_golf_00,vibe,0.8,100.0,341
outdoors_golf_00,vibe,1.0,100.0,341
outdoors_parcours_00,mp,0.1,12.712303,1657
outdoors_parcours_00,mp,0.2,27.683421,1657
outdoors_parcours_00,mp,0.3,46.253987,1657
outdoors_parcours_00,mp,0.4,63.962411,1657
outdoors_parcours_00,mp,0.5,77.623071,1657
outdoors_parcours_00,mp,0.6,85.796189,1657
outdoors_parcours_00,mp,0.8,94.913355,1657
outdoors_parcours_00,mp,1.0,98.01707,1657
outdoors_parcours_00,vibe,0.1,30.20519,1657
outdoors_parcours_00,vibe,0.2,62.664885,1657
outdoors_parcours_00,vibe,0.3,81.16648,1657
outdoors_parcours_00,vibe,0.4,91.374256,1657
outdoors_parcours_00,vibe,0.5,96.060005,1657
outdoors_parcours_00,vibe,0.6,98.271403,1657
outdoors_parcours_00,vibe,0.8,99.435296,1657
