sequence_id,frame,model,tau,pck_percent,valid_keypoints
courtyard_backpack_00,41,mp,1.0,100.0,14
courtyard_backpack_00,42,mp,0.1,14.285714,14
courtyard_backpack_00,42,mp,0.2,21.428571,14
courtyard_backpack_00,42,mp,0.3,35.714286,14
courtyard_backpack_00,42,mp,0.4,78.571429,14
courtyard_backpack_00,42,mp,0.5,92.857143,14
courtyard_backpack_00,42,mp,0.6,100.0,14
courtyard_backpack_00,42,mp,0.8,100.0,14
courtyard_backpack_00,42,mp,1.0,100.0,14
courtyard_backpack_00,43,mp,0.1,14.285714,14
courtyard_backpack_00,43,mp,0.2,21.428571,14
courtyard_backpack_00,43,mp,0.3,42.857143,14
courtyard_backpack_00,43,mp,0.4,78.571429,14
courtyard_backpack_00,43,mp,0.5,92.857143,14
courtyard_backpack_00,43,mp,0.6,100.0,14
courtyard_backpack_00,43,mp,0.8,100.0,14
courtyard_backpack_00,43,mp,1.0,100.0,14
courtyard_backpack_00,44,mp,0.1,14.285714,14
courtyard_backpack_00,44,mp,0.2,14.285714,14
courtyard_backpack_00,44,mp,0.3,42.857143,14
courtyard_backpack_00,44,mp,0.4,71.428571,14
courtyard_backpack_00,44,mp,0.5,92.857143,14
courtyard_backpack_00,44,mp,0.6,100.0,14
courtyard_backpack_00,44,mp,0.8,100.0,14
courtyard_backpack_00,44,mp,1.0,100.0,14
courtyard_backpack_00,45,mp,0.1,14.285714,14
courtyard_backpack_00,45,mp,0.2,21.428571,14
courtyard_backpack_00,45,mp,0.3,35.714286,14
courtyard_backpack_00,45,mp,0.4,64.285714,14
courtyard_backpack_00,45,mp,0.5,92.857143,14
courtyard_backpack_00,45,mp,0.6,100.0,14
courtyard_backpack_00,45,mp,0.8,100.0,14
courtyard_backpack_00,45,mp,1.0,100.0,14
courtyard_backpack_00,46,mp,0.1,14.285714,14
courtyard_backpack_00,46,mp,0.2,21.428571,14
courtyard_backpack_00,46,mp,0.3,35.714286,14
courtyard_backpack_00,46,mp,0.4,64.285714,14
courtyard_backpack_00,46,mp,0.5,85.714286,14
courtyard_backpack_00,46,mp,0.6,100.0,14
courtyard_backpack_00,46,mp,0.8,100.0,14
courtyard_backpack_00,46,mp,1.0,100.0,14
courtyard_backpack_00,47,mp,0.1,14.285714,14
courtyard_backpack_00,47,mp,0.2,21.428571,14
courtyard_backpack_00,47,mp,0.3,35.714286,14
courtyard_backpack_00,47,mp,0.4,57.142857,14
courtyard_backpack_00,47,mp,0.5,85.714286,14
courtyard_backpack_00,47,mp,0.6,100.0,14
courtyard_backpack_00,47,mp,0.8,100.0,14
courtyard_backpack_00,47,mp,1.0,100.0,14
courtyard_backpack_00,48,mp,0.1,14.285714,14
courtyard_backpack_00,48,mp,0.2,21.428571,14
courtyard_backpack_00,48,mp,0.3,35.714286,14
courtyard_backpack_00,48,mp,0.4,50.0,14
courtyard_backpack_00,48,mp,0.5,85.714286,14
courtyard_backpack_00,48,mp,0.6,100.0,14
courtyard_backpack_00,48,mp,0.8,100.0,14
courtyard_backpack_00,48,mp,1.0,100.0,14
courtyard_backpack_00,49,mp,0.1,14.285714,14
courtyard_backpack_00,49,mp,0.2,14.285714,14
courtyard_backpack_00,49,mp,0.3,35.714286,14
courtyard_backpack_00,49,mp,0.4,57.142857,14
courtyard_backpack_00,49,mp,0.5,78.571429,14
courtyard_backpack_00,49,mp,0.6,92.857143,14
courtyard_backpack_00,49,mp,0.8,100.0,14
courtyard_backpack_00,49,mp,1.0,100.0,14
courtyard_backpack_00,50,mp,0.1,14.285714,14
courtyard_backpack_00,50,mp,0.2,14.285714,14
courtyard_backpack_00,50,mp,0.3,35.714286,14
courtyard_backpack_00,50,mp,0.4,57.142857,14
courtyard_backpack_00,50,mp,0.5,78.571429,14
courtyard_backpack_00,50,mp,0.6,92.857143,14
courtyard_backpack_00,50,mp,0.8,100.0,14
courtyard_backpack_00,50,mp,1.0,100.0,14
courtyard_backpack_00,51,mp,0.1,14.285714,14
courtyard_backpack_00,51,mp,0.2,14.285714,14
courtyard_backpack_00,51,mp,0.3,35.714286,14
courtyard_backpack_00,51,mp,0.4,57.142857,14
courtyard_backpack_00,51,mp,0.5,78.571429,14
